feature_removed,auc_full,auc_without_feature,delta_auc
kick_distance,0.7509954841887616,0.5467902148574417,0.20420526933131988
roof,0.7509954841887616,0.7487734651600197,0.0022220190287418617
surface,0.7509954841887616,0.7493152051975581,0.0016802789912034877
humidity_pct,0.7509954841887616,0.7504358008559688,0.0005596833327927708
wind_speed_mph,0.7509954841887616,0.7507152738245175,0.0002802103642440823
half_seconds_remaining,0.7509954841887616,0.7508853664315849,0.00011011775717673089
score_differential,0.7509954841887616,0.7508936006835166,0.0001018835052449818
temp_f,0.7509954841887616,0.7509222362163539,7.324797240770842e-05
weather_type,0.7509954841887616,0.7520531554145,-0.0010576712257384102
wind_dir,0.7509954841887616,0.7523955528157209,-0.0014000686269592943
