kick_distance,pred_fg_make_prob
19.0,0.9743933905921348
19.79591836734694,0.9722789177122707
20.591836734693878,0.9699952182545428
21.387755102040817,0.9675296675618693
22.183673469387756,0.9648688555237522
22.979591836734695,0.9619985647457902
23.775510204081634,0.9589037533205832
24.57142857142857,0.9555685433716156
25.367346938775512,0.9519762166966721
26.163265306122447,0.9481092189982641
26.95918367346939,0.9439491743517147
27.755102040816325,0.9394769117220969
28.551020408163264,0.9346725054926254
29.346938775510203,0.9295153321012537
30.142857142857142,0.9239841449890311
30.93877551020408,0.9180571701311709
31.73469387755102,0.91171222443562
32.53061224489796,0.9049268592381279
33.326530612244895,0.8976785309795878
34.12244897959184,0.8899448009017765
34.91836734693878,0.8817035652221603
35.714285714285715,0.8729333167284204
36.51020408163265,0.8636134380522149
37.30612244897959,0.8537245260269044
38.10204081632653,0.8432487454991368
38.897959183673464,0.8321702097517255
39.69387755102041,0.8204753833188523
40.48979591836735,0.8081535014619238
41.285714285714285,0.7951969989692164
42.08163265306122,0.7816019393061654
42.87755102040816,0.7673684335553097
43.673469387755105,0.7525010371417489
44.46938775510204,0.7370091111515549
45.265306122448976,0.7209071342351705
46.06122448979592,0.7042149507643628
46.85714285714286,0.6869579411895035
47.6530612244898,0.6691671015130035
48.44897959183673,0.6508790205113127
49.244897959183675,0.6321357458147987
50.04081632653062,0.6129845331517682
50.83673469387755,0.5934774768811263
51.63265306122449,0.5736710242200184
52.42857142857143,0.5536253801075213
53.224489795918366,0.5334038141813688
54.02040816326531,0.5130718856071226
54.816326530612244,0.4926966052128167
55.61224489795919,0.4723455572952903
56.40816326530612,0.45208600537296817
57.20408163265306,0.431984006926925
58.0,0.4121035617420887
